idptar;X;Y;Annonce Sonore Prochain Passage;Annonce Visuelle Prochain Passage;Annonce Sonore Situations Perturbees;Annonce Visuelle Situations Perturbees;coord;IDAMIVIF;nomptar;CODEINSEE;Accessibilité UFR;PAQT;IDFM;Sens;Doublon;Ligne;GIPA
6401821;611594;2426657;1;1;1;1;48.8381727019,2.49436130405;IDAMIVIF;NOGENT-LE-PERREUX RER;94058;1;;100100116;R;;116;3012
4199323;606574;2429703;1;0;1;0;48.8656190764,2.42605957597;IDAMIVIF;CHARLES DELESCLUZE;93006;1;;100100122;A;Ok;122;12971
3685703;610615;2428237;1;0;1;0;48.8523897942,2.48107134617;IDAMIVIF;CHARLES GARCIA;94033;1;;100100118;R;Ok;118;3258
4109794;612476;2432600;1;0;1;0;48.8915680817,2.50654422035;IDAMIVIF;MARIUS GONIN;93077;1;;100100114;A;Ok;114;3074
4117686;608970;2437652;1;1;1;1;48.9370286752,2.45886652123;IDAMIVIF;ANCIENNE MAIRIE DE LE_BLANC-MESNIL;93007;1;;100100148;A;Ok;148;4097
6401822;611868;2426965;1;1;1;1;48.8409358828,2.49810046018;IDAMIVIF;LE PARC;94058;1;;100100116;R;;116;3013
4199342;608320;2429059;1;0;1;0;48.8598111,2.44983181821;IDAMIVIF;COLLEGE JEAN MOULIN;93048;1;;100100122;A;Ok;122;3458
3685823;610593;2429078;1;0;1;0;48.8599485769,2.48079264577;IDAMIVIF;CIMETIERE DE VINCENNES;94033;1;;100100118;A;Ok;118;3249
4109745;611601;2426638;1;0;1;0;48.8380018127,2.49445609331;IDAMIVIF;NOGENT-LE-PERREUX RER;94058;1;;100100114;A;Ok;114;3012
4117655;608271;2434329;1;1;1;1;48.9071744124,2.44926669225;IDAMIVIF;BOBIGNY - PABLO PICASSO;93008;0;;100100148;A;Ok;148;4733
6401831;611743;2429481;1;1;1;1;48.8635505848,2.49646786037;IDAMIVIF;MISSAK MANOUCHIAN;93064;1;;100100116;A;;116;49842
4199343;608320;2429059;1;0;1;0;48.8598111,2.44983181821;IDAMIVIF;COLLEGE JEAN MOULIN;93048;1;;100100122;R;Ok;122;3458
3685732;608457;2427573;1;1;1;1;48.8464539728,2.4516684212;IDAMIVIF;CLEMENT VIENOT;94080;1;;100100118;R;Ok;118;3240
4109746;611601;2426638;1;0;1;0;48.8380018127,2.49445609331;IDAMIVIF;NOGENT-LE-PERREUX RER;94058;1;;100100114;R;Ok;114;3012
4117666;607314;2435423;1;0;1;0;48.9170177519,2.43623832672;IDAMIVIF;CHAVEZ - NIEUPORT;93029;1;;100100148;A;Ok;148;4742
6401832;611845;2429851;1;1;1;1;48.8668740398,2.49786759334;IDAMIVIF;RUE DU RHIN;93064;1;;100100116;A;;116;3108
4199336;607418;2428933;1;1;1;1;48.8586896645,2.43754354678;IDAMIVIF;CROIX DE CHAVAUX - ROUGET DE LISLE;93048;1;;100100122;R;Ok;122;34940
3685701;610263;2428326;1;1;1;1;48.8531953691,2.47627961134;IDAMIVIF;DANIELLE CASANOVA;94033;1;;100100118;R;Ok;118;3290
4109737;610158;2426354;1;1;1;1;48.8354736629,2.47480259608;IDAMIVIF;PLACE DU GENERAL LECLERC;94052;1;;100100114;R;Ok;114;3007
4117667;607314;2435423;1;0;1;0;48.9170177519,2.43623832672;IDAMIVIF;CHAVEZ - NIEUPORT;93029;1;;100100148;R;Ok;148;4742
6401850;611025;2428171;1;1;1;1;48.8517897491,2.48665341557;IDAMIVIF;PLACE DU GENERAL DE GAULLE;94033;1;;100100116;A;;116;3537
4199316;605938;2429708;1;1;1;1;48.8656701565,2.41739575926;IDAMIVIF;GALLIENI-METRO;93006;1;;100100122;R;Ok;122;12969
3685809;610263;2428326;1;1;1;1;48.8531953691,2.47627961134;IDAMIVIF;DANIELLE CASANOVA;94033;1;;100100118;A;Ok;118;3290
4798798;610158;2426354;1;1;1;1;48.8354736629,2.47480259608;IDAMIVIF;PLACE DU GENERAL LECLERC;94052;1;;100100114;A;Ok;114;3007
4117668;607482;2435720;0;0;0;0;48.9196849584,2.43853438906;IDAMIVIF;DANTON;93029;1;;100100148;A;Ok;148;4743
6401854;611251;2427736;1;1;1;1;48.847876301,2.4897197752;IDAMIVIF;LYCEE LOUIS ARMAND;94033;1;;100100116;A;;116;14872
4199371;610926;2428262;1;1;1;1;48.8526092906,2.48530748751;IDAMIVIF;GENERAL DE GAULLE;94033;0;;100100122;R;Ok;122;3288
3685826;610805;2429692;1;0;1;0;48.8654633092,2.48369587083;IDAMIVIF;DIDEROT;93064;0;;100100118;R;Ok;118;10918
4109814;612774;2430546;1;1;1;1;48.8731024888,2.5105440176;IDAMIVIF;PLATEAU D'AVRON - PLACE DE STALINGRAD;93049;0;;100100114;R;Ok;114;3082
4117665;607321;2435019;1;1;1;1;48.9133869272,2.43632683453;IDAMIVIF;ESCADRILLE NORMANDIE-NIEMEN - ROGER SALENGRO-TRAMWAY;93029;1;;100100148;R;Ok;148;4741
6401873;611927;2424806;1;1;1;1;48.8215305704,2.4988433646;IDAMIVIF;ARISTIDE BRIAND;94017;1;;100100116;A;;116;3152
4199364;610658;2428788;1;1;1;1;48.8573411598,2.48167075005;IDAMIVIF;LA FONTAINE;94033;1;;100100122;A;Ok;122;3283
3685724;610819;2430746;1;0;1;0;48.8749357078,2.4839133758;IDAMIVIF;GARDEBLED;93064;1;;100100118;A;Ok;118;3254
4798796;609116;2426720;1;0;1;0;48.8387786552,2.46062406856;IDAMIVIF;PORTE JAUNE;75112;1;;100100114;A;Ok;114;8345
4117703;607652;2438738;1;0;1;0;48.9468053039,2.44090689857;IDAMIVIF;LOUIS BLERIOT;93007;1;;100100148;R;Ok;148;16216
6401884;612881;2424180;1;1;1;1;48.8158859433,2.51180920614;IDAMIVIF;REPUBLIQUE - STALINGRAD;94017;1;;100100116;A;;116;3157
4199317;606060;2430019;1;1;1;1;48.8684640933,2.41906211094;IDAMIVIF;MAIRIE DE BAGNOLET;93006;1;;100100122;A;Ok;122;1759
3685778;610819;2430746;1;0;1;0;48.8749357078,2.4839133758;IDAMIVIF;GARDEBLED;93064;1;;100100118;A;Ok;118;3254
4109757;613094;2428379;1;0;1;0;48.8536204575,2.51483711955;IDAMIVIF;RER - RASPAIL;93049;1;;100100114;A;;114;3019
4117658;608145;2434584;1;0;1;0;48.9094677098,2.44755376486;IDAMIVIF;PIERRE SEMARD;93008;1;;100100148;A;Ok;148;4664
6401876;612190;2424575;1;1;1;1;48.8194495041,2.50241641581;IDAMIVIF;GABRIEL PERI - HENRI BARBUSSE;94017;1;;100100116;R;;116;3167
4199354;609802;2429819;1;1;1;1;48.8666207146,2.47003551696;IDAMIVIF;PARC DE MONTREAU;93048;1;;100100122;A;Ok;122;3463
3685758;610926;2428262;1;0;1;0;48.8526092906,2.48530748751;IDAMIVIF;GENERAL DE GAULLE;94033;1;;100100118;A;Ok;118;3288
