Code STIF;Nom de Ligne;Origine;Destination;Accessibilité UFR;Rampe;Annonce sonore prochain arrêt;Annonce visuelle prochain arrêt
1001002140001;214;NEUILLY-PLAISANCE RER;GAGNY-ROGER SALENGRO;1;1;1;0
1001002410001;241;PORTE D'AUTEUIL-METRO;RUEIL-MALMAISON RER;1;1;1;1
1001002760001;276;ASNIERES-GENNEVILLIERS-LES COURTILLES;LA DEFENSE-METRO-RER-TRAMWAY;1;1;1;0
1001002810001;281;JOINVILLE-LE-PONT RER;CRETEIL-EUROPARC;1;1;1;0
1001003060001;306;SAINT MAUR-CRETEIL-RER;NOISY LE GRAND-MONT D'EST-RER;1;1;1;0
1001003100001;310;LES YVRIS - NOISY-LE-GRAND RER;NOISY - CHAMPS RER;1;1;1;0
1001003120001;312;CIRCULAIRE NOISY CHAMPS-RER;CIRCULAIRE NOISY CHAMPS-RER;1;0;1;0
1001003500001;350;GARE DE L'EST;ROISSYPOLE;1;1;1;0
1001003530001;353;SAINT-DENIS ZAC DU LANDY NORD;SAINT-DENIS UNIVERSITE;1;0;0;1
1001003670001;367;PONT DE BEZONS;RUEIL-MALMAISON RER;1;1;1;0
1001003790001;379;VELIZY 2;LA CROIX DE BERNY RER;1;0;1;1
1001003880001;388;CHATILLON MONTROUGE-METRO;BOURG LA REINE-RER;1;1;1;0
1001003940001;394;ISSY-VAL DE SEINE RER-TRAMWAY;BOURG-LA-REINE RER;1;1;1;0
1001003950001;395;REAUMUR - DESCARTES;ANTONY RER;1;1;1;1
1001003960001;396;LA CROIX DE BERNY RER;BELLE EPINE SUD;1;0;1;0
1001003990001;399;MASSY-PALAISEAU RER;JUVISY RER;1;1;1;1
1001004590001;459;GARE DE SAINT-CLOUD;HENRI REGNAULT;1;1;0;0
1001004920001;492;PLACE DE LA LIBERATION;SAVIGNY-SUR-ORGE - CARNOT - RER;0;0;1;0
1001005240001;524;LES PARAPLUIES-VAL DE FONTENAY;VAL DE FONTENAY-RER;1;1;0;0
1001005420001;V1;LECLERC-THOMAS;MAIRIE DE L'HAY-LES-ROSES;1;1;0;0
1001005460001;TUB;BONDY;LA MARE A LA VEUVE;0;0;0;0
1001005620001;V4;CIRCULAIRE;HOTEL DE VILLE - CENTRE;1;1;0;0
1001005660001;566;RUE DE L'INDUSTRIE;RUE DE L'INDUSTRIE.;0;0;0;0
1001005720001;572;SEVRES-VILLE D'AVRAY - GARE SNCF RIVE DROITE;MONASTERE;1;0;0;0
1001005730001;573;MARCHE - MAIRIE;MARCHE - MAIRIE;1;0;0;0
1001005810001;V3;SU CACHAN;CENTRE VILLE;1;1;0;0
1001005820001;CHOISYB;SERV URBAIN DE CHOISY LE ROI;CIRCULAIRE;0;1;0;0
1001005890001;TUVIM;CIRCUITS GRAND ISSY ET CENTRE;MAIRIE D'ISSY-METRO;1;1;1;0
