,Rang,Réseau,Station,Trafic,Correspondance_1,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,Ville,Arrondissement pour Paris,NB_CORR
203,256,Métro,MONCEAU,902347,2,0,0,0.0,0.0,Paris,17.0,1
204,257,Métro,SAINT-JACQUES,900155,6,0,0,0.0,0.0,Paris,13.0,1
205,258,Métro,MOUTON-DUVERNET,870679,4,0,0,0.0,0.0,Paris,14.0,1
206,270,Métro,PIERRE CURIE,780043,7,0,0,0.0,0.0,Ivry,0.0,1
207,275,Métro,CITE,741182,4,0,0,0.0,0.0,Paris,4.0,1
208,276,Métro,LIEGE,740144,13,0,0,0.0,0.0,Paris,8.0,1
209,280,Métro,CARDINAL LEMOINE,710141,10,0,0,0.0,0.0,Paris,5.0,1
210,287,Métro,QUAI DE LA RAPEE,525558,5,0,0,0.0,0.0,Paris,12.0,1
211,289,Métro,SAINT-GEORGES,523670,12,0,0,0.0,0.0,Paris,9.0,1
212,13,Métro,HOTEL DE VILLE,5673100,1,11,0,0.0,0.0,Paris,4.0,2
213,296,Métro,CHARDON-LAGACHE,331901,10,0,0,0.0,0.0,Paris,16.0,1
214,18,Métro,MAIRIE DE MONTREUIL,4764601,9,0,0,0.0,0.0,Montreuil,0.0,1
215,303,Métro,PONT CARDINET,112229,14,0,0,0.0,0.0,Paris,17.0,1
216,20,Métro,BOBIGNY-PABLO PICASSO,4752569,5,0,0,0.0,0.0,Bobigny,0.0,1
217,3,RER,CHATELET-LES HALLES-RER,18301464,A,B,0,0.0,0.0,Paris,1.0,2
218,21,Métro,OLYMPIADES,4717069,14,0,0,0.0,0.0,Paris,13.0,1
219,4,RER,LA DEFENSE-RER,16349130,A,0,0,0.0,0.0,Puteaux,0.0,1
220,27,Métro,AUBERVILLIERS-PANTIN-QUATRE CHEMINS,4131018,7,0,0,0.0,0.0,Aubervilliers,0.0,1
221,6,RER,VAL DE FONTENAY,7985198,A,0,0,0.0,0.0,Fontenay-sous-Bois,0.0,1
222,29,Métro,HAVRE-CAUMARTIN,3899956,3,9,0,0.0,0.0,Paris,9.0,2
223,7,RER,MASSY-PALAISEAU,5163200,B,0,0,0.0,0.0,Massy,0.0,1
224,38,Métro,TROCADERO,3618422,6,9,0,0.0,0.0,Paris,16.0,2
225,18,RER,ANTONY,2790880,B,0,0,0.0,0.0,Antony,0.0,1
226,39,Métro,LA COURNEUVE-8 MAI 1945,3611264,7,0,0,0.0,0.0,La Courneuve,0.0,1
