Ligne;Nom_gare;Adresse_gare;Code_UIC;Reperes_E_S;Observations;Signaletique_directionnelle;Adresse_de_la_sortie;Nom_de_la_sortie;Coordonnee_WGS84_Bing
L;Courbevoie;Rue de Sébastopol 92400 Courbevoie;87382200;Entrée et sortie 3;;;Avenue Château-du-Loir;Entrée 3 - Avenue Château-du-Loir;48.898025,2.248346
L;Houilles-Carrières-sur-Seine;Rue du 4 septembre;87386409;Entrée et sortie;Entrée 2;;Rue du 4 septembre;Entrée 2 - Rue du 4 septembre;48.551371,2.11812
C;Pont de l'Alma;Place de la Résistance 75007   Paris;87393041;Entrée N°01;Accés quai A;Sortie;Place de la Résistance;Entrée 1 - Place de la Résistance ( Accès Quai A);48.862522,2.301183
C;Villeneuve-le-Roi;Place de la Gare 94290   Villeneuve-le-Roi;87545277;Entrée N°01;façade BV;Sortie Place de la Gare;Place Lénine;Entrée 1 - Place de la Gare (Place Lénine);48.739833,2.426083
L;Courbevoie;Rue de Sébastopol 92400 Courbevoie;87382200;Entrée et sortie 4;;;Avenue Château-du-Loir/ Rue Adam Ledoux;Entrée 4 - Avenue Château-du-Loir/ Rue Adam Ledoux;48.898439,2.24912
L;Conflans-fin-d'Oise;Place Georges Clémenceau;87381459;Entrée et sortie;Entrée principale;;Place Georges Clémenceau;Entrée 1 - Place Georges Clémenceau;49.5921,2.42912
C;Invalides;2, Rue Esnault Pelterie 75007   Paris;87393033;Entrée N°02;De jour (6h-22h);;Voie Express Rive Gauche;Entrée 2 - 2, Rue Esnault Pelterie (Voie express Rive Gauche);48.86305,2.31395
C;Pont-de-Rungis-Aéroport-d'Orly;Avenue du Docteur Marie 94150   Thiais;87546192;Entrée N°01;façade BV;;;Entrée  1 - Avenue du Docteur Marie;48.748033,2.372867
C;Ivry-sur-Seine;Place Marcel Cachin 94200   Ivry-sur-Seine;87545301;Entrée N°02;coté gauche bv;;Place Marcel Cachin;Entrée 2 - Place Marcel Cachin;48.814416,2.390864
C;Gravigny-Balizy;Rue des Templiers 91160   Longjumeau;87393645;Entrée N°03;debut quai opposé bv;Sortie coté Gravigny;Rue des Templiers;Entrée 3 - Rue des Templiers (Coté Gravigny);48.685267,2.318
C;Epinay-sur-Orge;1, Place Stalingrad 91360   Epinay-sur-Orge;87545228;Entrée N°01;façade BV;Sortie Place Stalingrad;Place Stalingrad;Entrée 1 - Place Stalingrad;48.669467,2.331883
C;Chilly-Mazarin;Rue du Chemin de Fer 91380   Chilly-Mazarin;87393637;Entrée N°01;BV;Sortie Place de la Gare;;Entrée 1 -  Place de la Gare;48.700583,2.30845
L;Versailles Rive Droite;40, Rue du Maréchal Foch 78000   Versailles;87382861;Entrée et sortie 3;;;Impasse de Clagny;Entrée 3 - Impasse de Clagny;48.809653,2.135432
L;Val-d'Or (Le);33, Avenue Alfred Belmontet 92210 Saint Cloud;87382366;Entrée et sortie 1;;;Avenue Alfred Belmontet;Entrée 1 - Avenue Alfred Belmontet;48.856934,2.216796
L;LA GARENNE COLOMBES;;87386003;;;;;;
C;Sainte-Geneviève-des-Bois;Place de la Gare 91700   Sainte-Geneviève-des-Bois;87545210;Entrée N°02;quai coté gauche bv;Sortie;Place de la Gare;Entrée 2 -  Place de la Gare;48.653533,2.3138
C;Rungis-la-Fraternelle;Rue des Alpes 94150   Rungis;87546291;Entrée N°01;façade BV;Sortie place de la Gare;Place de la Gare;Entrée 1 - Place de la Gare;48.740317,2.3531
C;Savigny-sur-Orge;Place de la Gare 91600   Savigny-sur-Orge;87545236;Entrée N°01;façade BV;Sortie Place de la Gare;Place de la Gare;Entrée 1 - Place de la Gare;48.67615,2.351767
C;Saint-Michel-Notre-Dame;Quai Saint Michel 75005   Paris;87547315;Entrée N°03;;Sortie Quai des grands Augustins;Quai des grands augustins;Entrée 3 - Quai des Grands Augustins;48.853983,2.344
